Date,Open,High,Low,Close,Volume,OI
11 May 2026,271945.00,285980.00,268820.00,285152.00,45133,20700
08 May 2026,267786.00,272487.00,266747.00,269925.00,22908,20390
07 May 2026,263991.00,273244.00,263222.00,266974.00,40467,20209
06 May 2026,254839.00,263700.00,254839.00,261848.00,23038,15162
05 May 2026,253104.00,256190.00,252086.00,253613.00,13082,13551
04 May 2026,259397.00,260777.00,250801.00,253304.00,21896,13056
01 May 2026,253218.00,262377.00,253008.00,259298.00,15461,13032
30 Apr 2026,249110.00,254675.00,248203.00,253687.00,12303,13565
29 Apr 2026,253619.00,253788.00,246764.00,248503.00,14013,14302
28 Apr 2026,255700.00,256689.00,249120.00,252575.00,22368,13404
27 Apr 2026,259182.00,260064.00,255663.00,257173.00,8648,11224
24 Apr 2026,254290.00,259256.00,252451.00,258935.00,17052,10699
23 Apr 2026,258149.00,260900.00,253904.00,255691.00,11377,9724
22 Apr 2026,261711.00,264359.00,261109.00,262507.00,4160,7990
21 Apr 2026,264836.00,265922.00,256868.00,258996.00,6648,7941
20 Apr 2026,268000.00,268000.00,265019.00,266167.00,4213,7420
17 Apr 2026,263516.00,274555.00,261659.00,270493.00,9205,7079
16 Apr 2026,268306.00,268306.00,262161.00,262425.00,4307,6910
15 Apr 2026,266556.00,268000.00,262149.00,264839.00,5471,6480
14 Apr 2026,257005.00,265763.00,257005.00,265211.00,5964,6146
13 Apr 2026,251889.00,255750.00,250866.00,254489.00,2948,6251
10 Apr 2026,254296.00,258699.00,253757.00,256870.00,2673,6057
09 Apr 2026,250936.00,257990.00,250499.00,257564.00,3578,5986
08 Apr 2026,255700.00,261000.00,248500.00,254704.00,6531,5804
07 Apr 2026,246849.00,250395.00,240101.00,245879.00,4991,6368
06 Apr 2026,246246.00,251305.00,245248.00,248490.00,3047,6026
02 Apr 2026,255500.00,255500.00,241241.00,248180.00,5284,6003
01 Apr 2026,255255.00,259250.00,252586.00,258927.00,3612,5706
